POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
665,Kane Williamson,89,33,6,5,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
666,Suresh Raina,51,33,4,2,RR,Chidambaram,22 April 2013
667,Aaron Finch,64,33,8,2,PBKS,IS Bindra Stadium,21 April 2013
668,Suresh Raina,53,33,7,1,KKR,Green Park,19 May 2016
669,Ruturaj Gaikwad,64,33,6,4,KKR,Wankhede Stadium,21 April 2021
670,Moeen Ali,58,33,5,5,MI,Arun Jaitley Stadium,01 May 2021
671,Sam Billings,54,33,3,2,KKR,Arun Jaitley Stadium,30 April 2016
672,Robin Uthappa,68,33,3,6,CSK,M. Chinnaswamy Stadium,23 March 2010
673,AB de Villiers,79,33,5,5,GL,M. Chinnaswamy Stadium,24 May 2016
674,Quinton de Kock,53,33,4,3,DC,Zayed Cricket Stadium,11 October 2020
675,Rohit Sharma,73,33,8,2,RR,Vidarbha Cricket Association Stadium,05 April 2010
676,Shaun Marsh,68,33,5,3,MI,Wankhede Stadium,22 April 2012
677,Robin Uthappa,69,33,9,2,RCB,M. Chinnaswamy Stadium,17 April 2012
678,Jesse Ryder,86,33,7,4,DC,Arun Jaitley Stadium,21 April 2012
679,Rahul Dravid,52,33,5,2,KKR,M. Chinnaswamy Stadium,10 April 2010
680,Cameron White,65,33,7,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
681,Virender Sehwag,63,33,8,2,RR,Arun Jaitley Stadium,29 April 2012
682,Faf du Plessis,69,33,5,4,GL,Saurashtra Cricket Association Stadium,14 April 2016
683,Glenn Maxwell,56,33,5,1,MI,IS Bindra Stadium,25 April 2016
684,Chris Gayle,99,33,6,8,RR,Zayed Cricket Stadium,30 October 2020
685,Suryakumar Yadav,79,33,11,2,RR,Zayed Cricket Stadium,06 October 2020
686,Sanju Samson,119,33,12,7,PBKS,Wankhede Stadium,12 April 2021
687,Faf du Plessis,87,33,11,1,PBKS,Dubai International Stadium,04 October 2020
688,Ambati Rayudu,71,33,6,3,MI,Zayed Cricket Stadium,19 September 2020
689,Mayank Agarwal,56,33,6,1,KKR,Zayed Cricket Stadium,10 October 2020
690,Aaron Finch,50,33,7,2,RPS,Saurashtra Cricket Association Stadium,14 April 2016
691,Suryakumar Yadav,56,33,7,2,KKR,Chidambaram,13 April 2021
692,Devon Conway,56,33,6,2,RCB,Maharashtra Cricket Association Stadium,04 May 2022
693,Yashasvi Jaiswal,68,33,9,2,PBKS,Wankhede Stadium,07 May 2022
694,Glenn Maxwell,56,33,6,3,MI,Dubai International Stadium,26 September 2021
695,Yuvraj Singh,54,33,5,3,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
696,Shikhar Dhawan,54,33,6,2,RR,Brabourne Stadium,07 May 2015
697,Unmukt Chand,58,33,8,2,RCB,M. Chinnaswamy Stadium,19 April 2015
698,Yuvraj Singh,70,34,11,1,DC,Arun Jaitley Stadium,02 May 2017
699,Yusuf Pathan,59,34,6,2,DC,Arun Jaitley Stadium,17 April 2017
700,David Warner,92,34,12,3,SRH,Brabourne - CCI,05 May 2022
701,Jonny Bairstow,56,34,8,1,RR,Wankhede Stadium,07 May 2022
702,Wriddhiman Saha,55,34,6,2,MI,Brabourne - CCI,06 May 2022
703,Chris Gayle,75,34,4,6,CSK,M. Chinnaswamy Stadium,22 May 2011
704,Murali Vijay,74,34,6,4,PBKS,IS Bindra Stadium,13 April 2011
705,Hashim Amla,104,34,8,6,MI,Holkar Cricket Stadium,20 April 2017
706,Shaun Marsh,79,34,7,5,RCB,HPCA Stadium,17 May 2011
707,Shreyas Iyer,52,34,2,3,RCB,Arun Jaitley Stadium,28 April 2019
708,Karun Nair,56,34,8,0,RCB,M. Chinnaswamy Stadium,11 May 2014
709,Kevin Pietersen,58,34,9,0,PBKS,IS Bindra Stadium,25 May 2014
710,Ambati Rayudu,68,34,7,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
711,Virat Kohli,67,34,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
712,Robin Uthappa,80,34,9,3,MI,Barabati Stadium,14 May 2014
713,Robin Uthappa,83,34,10,1,RCB,Eden Gardens,22 May 2014
714,Gautam Gambhir,72,34,11,0,PBKS,Eden Gardens,13 April 2017
715,AB de Villiers,89,34,3,9,PBKS,Holkar Cricket Stadium,10 April 2017
716,Suresh Raina,59,34,8,1,DC,Chidambaram,01 May 2019
717,Suresh Raina,53,34,5,2,PBKS,IS Bindra Stadium,05 May 2019
718,Shubman Gill,65,34,7,2,DC,Eden Gardens,12 April 2019
719,Rishabh Pant,85,34,6,7,RCB,M. Chinnaswamy Stadium,21 April 2018
720,MS Dhoni,79,34,6,5,PBKS,IS Bindra Stadium,15 April 2018
721,Quinton de Kock,81,34,6,4,RR,Wankhede Stadium,13 April 2019
722,Matthew Hayden,60,34,5,3,RCB,Kingsmead,14 May 2009
723,Sachin Tendulkar,68,34,6,4,KKR,St George's Park,27 April 2009
724,Adam Gilchrist,54,34,7,2,CSK,Chidambaram,06 May 2008
725,Sanath Jayasuriya,54,34,4,4,RCB,M. Chinnaswamy Stadium,28 May 2008
726,Parthiv Patel,54,34,5,2,RR,Chidambaram,24 May 2008
727,Moises Henriques,52,34,3,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
728,Rohit Sharma,56,34,6,1,RCB,Wankhede Stadium,01 May 2017
729,Shreyas Iyer,50,34,3,3,RR,Arun Jaitley Stadium,02 May 2018
730,Suryakumar Yadav,57,34,6,3,PBKS,Holkar Cricket Stadium,04 May 2018
731,Shaun Marsh,73,34,8,2,CSK,Chidambaram,02 May 2013
732,Suresh Raina,75,34,9,0,SRH,Saurashtra Cricket Association Stadium,21 April 2016
733,KL Rahul,51,34,4,3,GL,Saurashtra Cricket Association Stadium,24 April 2016
734,Mayank Agarwal,67,34,7,2,RR,Dubai International Stadium,21 September 2021
735,Manish Pandey,50,34,5,2,RCB,Eden Gardens,16 May 2016
736,Ajinkya Rahane,74,34,8,2,RCB,M. Chinnaswamy Stadium,07 May 2016
737,Virat Kohli,72,34,6,3,RR,Wankhede Stadium,22 April 2021
738,Mahela Jayawardena,59,34,8,1,MI,Arun Jaitley Stadium,21 April 2013
739,David Warner,61,34,5,4,MI,Wankhede Stadium,09 April 2013
740,Suryakumar Yadav,52,34,5,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
741,Robin Uthappa,75,34,5,5,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
742,Dwayne Smith,62,34,3,5,KKR,Eden Gardens,24 April 2013
743,Quinton De Kock,61,34,9,0,CSK,Brabourne - CCI,31 March 2022
744,Faf Du Plessis,73,34,8,2,SRH,Wankhede Stadium,08 May 2022
745,Ishan Kishan,81,34,11,2,DC,Brabourne - CCI,27 March 2022
746,Jos Buttler,70,34,4,5,MI,Zayed Cricket Stadium,06 October 2020
747,Wriddhiman Saha,58,34,7,1,MI,Sharjah Cricket Stadium,03 November 2020
748,Andrew Symonds,53,34,3,3,PBKS,Barabati Stadium,19 March 2010
749,KL Rahul,71,34,7,1,SRH,IS Bindra Stadium,08 April 2019
750,Quinton de Kock,65,34,6,2,RR,Sawai Mansingh Stadium,20 April 2019
751,Ravindra Jadeja,50,34,5,2,SRH,Dubai International Stadium,02 October 2020
752,Devdutt Padikkal,63,34,6,1,RR,Zayed Cricket Stadium,03 October 2020
753,David Warner,60,34,5,2,MI,Sharjah Cricket Stadium,04 October 2020
754,Virender Sehwag,64,34,6,3,KKR,Eden Gardens,07 April 2010
755,Nitin Saini,50,34,5,0,RCB,M. Chinnaswamy Stadium,02 May 2012
756,Faf du Plessis,73,34,6,2,RR,Chidambaram,21 April 2012
757,Dwayne Smith,87,34,10,3,RR,Sawai Mansingh Stadium,20 May 2012
758,Richard Levi,50,34,6,3,CSK,Chidambaram,04 April 2012
759,Rahul Dravid,58,34,8,0,RCB,Sawai Mansingh Stadium,23 April 2012
760,Gautam Gambhir,79,34,7,3,DEC,Arun Jaitley Stadium,15 May 2008
761,Rohit Sharma,67,34,6,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
762,Sanju Samson,92,34,2,10,RCB,M. Chinnaswamy Stadium,15 April 2018
763,Sanju Samson,102,34,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
764,Graeme Smith,71,34,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
765,Graeme Smith,75,34,8,2,RCB,Sawai Mansingh Stadium,17 May 2008
766,Rohit Sharma,76,34,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
767,AB de Villiers,66,34,4,4,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
768,Shane Watson,61,34,8,2,RCB,M. Chinnaswamy Stadium,26 April 2008
769,Rishabh Pant,64,34,4,4,MI,Arun Jaitley Stadium,20 May 2018
770,Rishabh Pant,79,34,7,4,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
771,JP Duminy,56,34,3,3,RR,Brabourne Stadium,03 May 2015
772,Ishan Kishan,58,35,4,3,RR,Sawai Mansingh Stadium,22 April 2018
773,Kane Williamson,56,35,5,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
774,Quinton de Kock,53,35,1,4,CSK,M. Chinnaswamy Stadium,25 April 2018
775,Dinesh Karthik,52,35,4,2,RR,Eden Gardens,23 May 2018
776,Sanju Samson,76,35,7,3,MI,Wankhede Stadium,01 May 2015
777,JP Duminy,67,35,4,3,RCB,M. Chinnaswamy Stadium,17 May 2015
778,Lendl Simmons,68,35,8,3,CSK,Eden Gardens,24 May 2015
779,Shane Watson,73,35,6,4,CSK,Narendra Modi Stadium,19 April 2015
780,Yusuf Pathan,52,35,5,2,MI,Wankhede Stadium,14 May 2015
781,Niraj Patel,57,35,10,0,PBKS,IS Bindra Stadium,28 May 2008
782,David Warner,58,35,10,1,PBKS,IS Bindra Stadium,27 April 2015
783,Pat Cummins,53,35,5,2,MI,Zayed Cricket Stadium,16 October 2020
784,Cameron White,78,35,6,5,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
785,Sachin Tendulkar,71,35,10,0,KKR,Brabourne Stadium,22 March 2010
786,Ajinkya Rahane,76,35,6,2,CSK,Narendra Modi Stadium,19 April 2015
787,Gautam Gambhir,50,35,5,1,CSK,Chidambaram,02 May 2008
788,Rahul Dravid,57,35,7,0,DC,Sawai Mansingh Stadium,01 May 2012
789,Michael Hussey,56,35,4,4,KKR,Eden Gardens,14 May 2012
790,Cameron White,67,35,8,1,PBKS,IS Bindra Stadium,13 May 2012
791,Kane Williamson,67,35,5,4,DC,Zayed Cricket Stadium,08 November 2020
792,Prithvi Shaw,66,35,4,4,KKR,Sharjah Cricket Stadium,03 October 2020
793,Prithvi Shaw,64,35,9,1,CSK,Dubai International Stadium,25 September 2020
794,Rishabh Pant,56,35,4,2,MI,Dubai International Stadium,10 November 2020
795,Tom Curran,54,35,2,3,KKR,Dubai International Stadium,30 September 2020
796,Eoin Morgan,51,35,3,3,RR,Sawai Mansingh Stadium,08 April 2013
797,Dwayne Smith,50,35,4,3,RCB,Wankhede Stadium,27 April 2013
798,Steve Smith,69,35,4,4,CSK,Sharjah Cricket Stadium,22 September 2020
799,Nitish Rana,81,35,13,1,DC,Zayed Cricket Stadium,24 October 2020
800,David Warner,85,35,10,1,MI,Sharjah Cricket Stadium,03 November 2020
801,Subramaniam Badrinath,53,35,7,2,PBKS,HPCA Stadium,18 April 2010
802,Jacques Kallis,68,35,9,1,DEC,M. Chinnaswamy Stadium,08 April 2010
803,Manish Pandey,51,35,3,2,KKR,Zayed Cricket Stadium,26 September 2020
804,KL Rahul,69,35,7,1,RR,Sharjah Cricket Stadium,27 September 2020
805,KL Rahul,77,35,7,3,MI,Dubai International Stadium,18 October 2020
806,Paul Valthaty,75,35,8,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
807,Sunny Sohal,62,35,8,1,DC,Arun Jaitley Stadium,19 April 2011
808,Ambati Rayudu,59,35,7,2,DC,Wankhede Stadium,07 May 2011
809,Ambati Rayudu,51,35,8,1,PBKS,Wankhede Stadium,02 May 2011
810,Dinesh Karthik,51,35,4,3,CSK,Arun Jaitley Stadium,05 May 2014
811,Dinesh Karthik,58,35,6,0,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
812,Suresh Raina,62,35,6,1,RCB,JSCA Stadium,18 May 2014
813,JP Duminy,52,35,3,3,KKR,Dubai International Stadium,19 April 2014
814,Shane Watson,51,35,3,4,CSK,JSCA Stadium,13 May 2014
815,Dinesh Karthik,69,35,7,3,PBKS,Arun Jaitley Stadium,19 May 2014
816,David Miller,68,35,3,5,RR,Eden Gardens,24 May 2022
817,Liam Livingstone,70,35,5,4,RCB,Brabourne - CCI,13 May 2022
818,K L Rahul,77,35,4,5,DC,Wankhede Stadium,01 May 2022
819,Kieron Pollard,57,35,4,5,CSK,Chidambaram,06 April 2013
820,Rishabh Pant,51,35,3,2,CSK,Dubai International Stadium,10 October 2021
821,David Warner,66,35,6,3,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
822,Suresh Raina,99,35,11,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
823,Jos Buttler,94,35,9,5,MI,Wankhede Stadium,13 May 2018
824,Robin Uthappa,63,35,7,2,DC,Dubai International Stadium,10 October 2021
825,David Warner,93,35,11,3,GL,Arun Jaitley Stadium,27 May 2016
826,Prithvi Shaw,53,35,7,1,SRH,Chidambaram,25 April 2021
827,Manish Pandey,61,35,5,1,CSK,Arun Jaitley Stadium,28 April 2021
828,Quinton de Kock,70,35,6,2,RR,Arun Jaitley Stadium,29 April 2021
829,Devdutt Padikkal,70,35,5,3,CSK,Sharjah Cricket Stadium,24 September 2021
830,Shikhar Dhawan,69,35,6,2,PBKS,Narendra Modi Stadium,02 May 2021
831,AB de Villiers,75,35,3,5,DC,Narendra Modi Stadium,27 April 2021
832,KL Rahul,91,35,7,5,RCB,Narendra Modi Stadium,30 April 2021
833,Faf du Plessis,86,35,7,3,KKR,Dubai International Stadium,15 October 2021
834,Shikhar Dhawan,85,35,10,2,CSK,Wankhede Stadium,10 April 2021
835,Faf du Plessis,95,35,9,4,KKR,Wankhede Stadium,21 April 2021
836,Aiden Markram,56,35,2,3,GT,Wankhede Stadium,27 April 2022
837,Virender Sehwag,72,35,11,1,KKR,Barabati Stadium,11 May 2014
838,Shikhar Dhawan,95,35,14,1,PBKS,HPCA Stadium,21 May 2011
839,AB de Villiers,82,35,3,7,PBKS,M. Chinnaswamy Stadium,24 April 2019
840,Suresh Raina,75,35,6,4,MI,Maharashtra Cricket Association's International Stadium,28 April 2018
841,Kane Williamson,84,35,6,5,CSK,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
842,Hashim Amla,104,35,8,5,GL,IS Bindra Stadium,07 May 2017
843,Manan Vohra,95,35,9,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
844,Nitish Rana,68,35,8,3,SRH,Eden Gardens,24 March 2019
845,David Warner,61,35,6,2,KKR,Brabourne - CCI,10 April 2022
846,Suresh Raina,52,35,3,3,KKR,Supersport Park,18 May 2009
847,Shaun Marsh,74,35,9,2,RCB,IS Bindra Stadium,12 May 2008
848,Shane Watson,76,35,5,5,PBKS,Sawai Mansingh Stadium,21 April 2008
849,Brad Hodge,71,35,4,4,CSK,Supersport Park,18 May 2009
850,Dwayne Bravo,70,35,7,3,PBKS,Supersport Park,12 May 2009
851,MS Dhoni,58,35,6,1,DEC,Buffalo Park,04 May 2009
852,Robin Uthappa,72,35,8,2,GL,Eden Gardens,21 April 2017
853,Vijay Shankar,63,35,9,0,GL,Green Park,13 May 2017
854,Gautam Gambhir,62,35,6,1,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
855,Shaun Marsh,84,35,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
856,Gautam Gambhir,80,35,11,1,CSK,Arun Jaitley Stadium,08 May 2008
857,Shaun Marsh,81,35,7,4,MI,Wankhede Stadium,21 May 2008
858,MS Dhoni,84,35,5,7,RCB,M. Chinnaswamy Stadium,21 April 2019
859,Steve Smith,51,35,4,1,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
860,Dinesh Karthik,97,35,7,9,RR,Eden Gardens,25 April 2019
861,Quinton de Kock,60,35,6,2,PBKS,IS Bindra Stadium,30 March 2019
862,AB de Villiers,59,35,5,2,PBKS,IS Bindra Stadium,13 April 2019
863,Dinesh Karthik,50,35,5,2,DC,Arun Jaitley Stadium,30 March 2019
864,Shane Watson,96,35,9,6,SRH,Chidambaram,23 April 2019
865,Manvinder Bisla,75,36,7,4,RCB,M. Chinnaswamy Stadium,16 March 2010
866,Aaron Finch,64,36,6,3,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
867,Michael Hussey,86,36,11,2,PBKS,IS Bindra Stadium,10 April 2013
868,Rahul Dravid,58,36,9,1,PWI,Sawai Mansingh Stadium,05 May 2013
869,Shikhar Dhawan,59,36,6,2,MI,Wankhede Stadium,13 May 2013
870,Azhar Mahmood,61,36,8,1,RCB,M. Chinnaswamy Stadium,14 May 2013
871,Ben Rohrer,64,36,9,1,RR,Sawai Mansingh Stadium,07 May 2013
872,Deepak Hooda,55,36,6,2,GT,Wankhede Stadium,28 March 2022
873,Quinton De Kock,140,36,10,10,KKR,DY Patil Stadium,18 May 2022
874,Suryakumar Yadav,51,36,5,2,RR,DY Patil Stadium,30 April 2022
875,Jos Buttler,116,36,9,9,DC,Wankhede Stadium,22 April 2022
876,Shubman Gill,57,36,3,4,PBKS,Sharjah Cricket Stadium,26 October 2020
877,Chris Gayle,53,36,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
878,Kumar Sangakkara,52,36,9,1,DEC,HPCA Stadium,16 April 2010
879,Virat Kohli,79,36,7,3,DC,M. Chinnaswamy Stadium,17 April 2016
880,Murali Vijay,59,36,4,3,RPS,ACA-VDCA Stadium,21 May 2016
881,Rohit Sharma,68,36,8,2,KKR,Wankhede Stadium,28 April 2016
882,Devdutt Padikkal,56,36,8,0,SRH,Dubai International Stadium,21 September 2020
883,KL Rahul,132,36,14,7,RCB,Dubai International Stadium,24 September 2020
884,Rohit Sharma,68,36,5,4,DC,Dubai International Stadium,10 November 2020
885,Yusuf Pathan,56,36,3,4,CSK,DY Patil Stadium,01 June 2008
886,Gautam Gambhir,86,36,11,1,RCB,Arun Jaitley Stadium,30 April 2008
887,Ajinkya Rahane,91,36,9,3,DC,Brabourne Stadium,03 May 2015
888,Rishabh Pant,128,36,15,7,SRH,Arun Jaitley Stadium,10 May 2018
889,David Warner,91,36,9,4,KKR,ACA-VDCA Stadium,22 April 2015
890,KL Rahul,94,36,10,3,MI,Wankhede Stadium,16 May 2018
891,AB de Villiers,57,36,2,4,PBKS,M. Chinnaswamy Stadium,13 April 2018
892,Suryakumar Yadav,51,36,6,2,DC,Dubai International Stadium,05 November 2020
893,Shikhar Dhawan,71,36,4,3,PBKS,IS Bindra Stadium,13 May 2012
894,Gautam Gambhir,66,36,7,1,PBKS,IS Bindra Stadium,18 April 2012
895,Chris Gayle,82,36,5,6,MI,Wankhede Stadium,09 May 2012
896,Jesse Ryder,73,36,7,1,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
897,AB de Villiers,52,36,6,0,PBKS,IS Bindra Stadium,20 April 2012
898,Karun Nair,54,36,6,1,RCB,M. Chinnaswamy Stadium,17 April 2016
899,Murali Vijay,55,36,6,0,GL,Saurashtra Cricket Association Stadium,01 May 2016
900,Lendl Simmons,67,36,5,4,CSK,Brabourne Stadium,28 May 2014
901,Brendon McCullum,71,36,8,2,MI,Dubai International Stadium,25 April 2014
902,Sanju Samson,74,36,7,3,MI,Wankhede Stadium,25 May 2014
903,Hardik Pandya,67,36,4,2,KKR,DY Patil Stadium,23 April 2022
904,Suresh Raina,58,36,7,1,KKR,Eden Gardens,14 April 2019
905,David Miller,59,36,5,3,KKR,Eden Gardens,27 March 2019
906,Virender Sehwag,80,36,8,5,KTK,Jawaharlal Nehru Stadium,30 April 2011
907,Virat Kohli,70,36,5,3,CSK,Wankhede Stadium,24 May 2011
908,Virat Kohli,67,36,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
909,Rohit Sharma,58,36,5,1,RR,Wankhede Stadium,20 May 2011
910,Murali Vijay,53,36,2,3,RR,Sawai Mansingh Stadium,09 May 2011
911,Adam Gilchrist,51,36,6,2,DEC,HPCA Stadium,21 May 2011
912,Ruturaj Gaikwad,75,36,12,0,SRH,Arun Jaitley Stadium,28 April 2021
913,Manish Pandey,114,36,10,4,DEC,Supersport Park,21 May 2009
914,Brad Hodge,70,36,10,1,PBKS,St George's Park,03 May 2009
915,Robin Uthappa,66,36,8,2,MI,New Wanderers Stadium,03 May 2009
916,Mayank Agarwal,57,36,6,2,RCB,Sharjah Cricket Stadium,03 October 2021
917,Jason Roy,60,36,8,1,RR,Dubai International Stadium,27 September 2021
918,Virat Kohli,53,36,6,1,CSK,Sharjah Cricket Stadium,24 September 2021
919,Quinton De Kock,80,36,9,2,DC,DY Patil Stadium,07 April 2022
920,Murali Vijay,89,36,12,1,RCB,IS Bindra Stadium,09 May 2016
921,Kane Williamson,57,36,7,0,CSK,Dubai International Stadium,13 October 2020
922,Marcus Stoinis,65,36,6,3,MI,Dubai International Stadium,05 November 2020
923,Brendon McCullum,64,36,6,3,MI,Wankhede Stadium,16 April 2017
924,Chris Lynn,82,36,7,6,CSK,Eden Gardens,14 April 2019
925,Shubman Gill,65,36,5,2,PBKS,IS Bindra Stadium,03 May 2019
926,Shaun Marsh,84,36,14,2,SRH,IS Bindra Stadium,28 April 2017
927,Dinesh Karthik,56,36,5,2,KKR,Dubai International Stadium,19 April 2014
928,Suresh Raina,56,36,5,1,DC,Zayed Cricket Stadium,21 April 2014
929,David Warner,81,36,6,5,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
930,Shikhar Dhawan,62,36,4,2,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
931,Sam Billings,55,36,9,0,PBKS,Arun Jaitley Stadium,15 April 2017
932,Shreyas Iyer,70,36,10,1,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
933,JP Duminy,78,36,3,6,MI,Arun Jaitley Stadium,23 April 2015
934,Lendl Simmons,59,36,9,2,RCB,M. Chinnaswamy Stadium,19 April 2015
935,Faf du Plessis,55,36,5,1,PBKS,IS Bindra Stadium,16 May 2015
936,Shikhar Dhawan,56,36,7,1,PBKS,Arun Jaitley Stadium,20 April 2019
937,Parthiv Patel,51,36,9,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
938,Shikhar Dhawan,50,36,5,2,RCB,Arun Jaitley Stadium,28 April 2019
939,Parthiv Patel,53,36,2,4,CSK,M. Chinnaswamy Stadium,21 April 2019
940,Gautam Gambhir,55,36,5,1,PBKS,IS Bindra Stadium,08 April 2018
941,Chris Lynn,55,36,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
942,Sanju Samson,52,36,4,0,MI,Sawai Mansingh Stadium,22 April 2018
943,Aaron Finch,88,37,8,4,DC,Dubai International Stadium,25 April 2014
944,Kieron Pollard,78,37,3,6,SRH,Dubai International Stadium,30 April 2014
945,Jacques Kallis,72,37,5,3,MI,Zayed Cricket Stadium,16 April 2014
946,Dwayne Smith,66,37,4,5,SRH,Sharjah Cricket Stadium,27 April 2014
947,Dwayne Smith,66,37,6,3,PBKS,Zayed Cricket Stadium,18 April 2014
948,Kane Williamson,51,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
949,Sanju Samson,50,37,4,2,KKR,Eden Gardens,23 May 2018
950,Subramaniam Badrinath,54,37,3,2,KKR,Eden Gardens,07 May 2011
951,Chris Gayle,96,37,7,7,KKR,Eden Gardens,11 April 2015
952,Faf du Plessis,96,37,10,4,PBKS,IS Bindra Stadium,05 May 2019
953,Suryakumar Yadav,71,37,10,0,CSK,Chidambaram,07 May 2019
954,Manish Pandey,71,37,8,2,MI,Wankhede Stadium,02 May 2019
955,Shreyas Iyer,67,37,8,2,RCB,M. Chinnaswamy Stadium,07 April 2019
956,Rohit Sharma,67,37,6,3,CSK,Chidambaram,26 April 2019
957,Steve Smith,84,37,7,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
958,Manish Pandey,81,37,5,5,MI,Wankhede Stadium,09 April 2017
959,Manish Pandey,69,37,4,3,DC,Arun Jaitley Stadium,17 April 2017
960,Lendl Simmons,66,37,5,4,DC,Arun Jaitley Stadium,06 May 2017
961,Virat Kohli,67,37,8,0,PBKS,IS Bindra Stadium,13 April 2019
962,Faf du Plessis,50,37,7,1,DC,ACA-VDCA Stadium,10 May 2019
963,Karun Nair,64,37,9,0,RPS,Arun Jaitley Stadium,12 May 2017
964,Shaun Marsh,58,37,6,0,GL,IS Bindra Stadium,07 May 2017
965,Parthiv Patel,52,37,3,3,RPS,Wankhede Stadium,16 May 2017
966,Shikhar Dhawan,88,37,9,2,CSK,Wankhede Stadium,25 April 2022
967,Shikhar Dhawan,70,37,5,3,MI,Maharashtra Cricket Association Stadium,13 April 2022
968,K L Rahul,103,37,12,4,MI,Wankhede Stadium,24 April 2022
969,Ravichandran Ashwin,50,37,4,2,DC,DY Patil Stadium,11 May 2022
970,Ruturaj Gaikwad,73,37,5,5,GT,Maharashtra Cricket Association Stadium,17 April 2022
971,Ajinkya Rahane,67,37,6,2,PWI,Sawai Mansingh Stadium,05 May 2013
972,Ajinkya Rahane,63,37,5,1,DC,Sawai Mansingh Stadium,07 May 2013
973,Darren Sammy,60,37,8,1,RR,Sawai Mansingh Stadium,27 April 2013
974,Chris Gayle,128,37,7,13,DC,Arun Jaitley Stadium,17 May 2012
975,Ajinkya Rahane,98,37,16,1,PBKS,Sawai Mansingh Stadium,06 April 2012
976,Shikhar Dhawan,84,37,9,5,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
977,AB de Villiers,64,37,6,2,DC,M. Chinnaswamy Stadium,07 April 2012
978,Rohit Sharma,60,37,6,2,CSK,Wankhede Stadium,06 May 2012
979,Shikhar Dhawan,52,37,8,0,RR,Sawai Mansingh Stadium,17 April 2012
980,Ishan Kishan,72,37,8,3,DC,Dubai International Stadium,31 October 2020
981,Ruturaj Gaikwad,72,37,6,2,KKR,Dubai International Stadium,29 October 2020
982,Jos Buttler,70,37,7,2,CSK,Zayed Cricket Stadium,19 October 2020
983,Jonny Bairstow,61,37,6,2,RCB,Dubai International Stadium,21 September 2020
984,KL Rahul,61,37,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
985,Ajinkya Rahane,60,37,5,1,RCB,Zayed Cricket Stadium,02 November 2020
986,Shikhar Dhawan,54,37,6,0,RCB,Zayed Cricket Stadium,02 November 2020
987,Devdutt Padikkal,54,37,5,2,MI,Dubai International Stadium,28 September 2020
988,David Warner,52,37,5,1,PBKS,Dubai International Stadium,08 October 2020
989,Rahul Dravid,66,37,10,0,CSK,Chidambaram,04 May 2011
990,Manoj Tiwary,61,37,2,3,DC,Arun Jaitley Stadium,28 April 2011
991,Dwaraka Ravi Teja,60,37,5,2,PBKS,HPCA Stadium,21 May 2011
992,Venugopal Rao,60,37,4,4,RR,Sawai Mansingh Stadium,12 April 2011
993,Jacques Kallis,54,37,7,0,CSK,Chidambaram,08 April 2011
994,Manoj Tiwary,75,37,8,2,PBKS,IS Bindra Stadium,27 March 2010
995,Paul Collingwood,75,37,3,7,RCB,Arun Jaitley Stadium,04 April 2010
